Date,Price,Open,High,Low
30-Mar-00,6.483,6.483,6.483,6.483
31-Mar-00,6.483,6.483,6.483,6.483
3-Apr-00,6.414,6.414,6.414,6.414
4-Apr-00,6.295,6.295,6.295,6.295
5-Apr-00,6.295,6.295,6.295,6.295
6-Apr-00,6.38,6.38,6.38,6.38
7-Apr-00,6.362,6.362,6.362,6.362
10-Apr-00,6.293,6.293,6.293,6.293
11-Apr-00,6.37,6.37,6.37,6.37
12-Apr-00,6.378,6.378,6.378,6.378
13-Apr-00,6.348,6.348,6.348,6.348
14-Apr-00,6.248,6.248,6.248,6.248
17-Apr-00,6.368,6.368,6.368,6.368
18-Apr-00,6.337,6.337,6.337,6.337
19-Apr-00,6.354,6.354,6.354,6.354
20-Apr-00,6.388,6.388,6.388,6.388
24-Apr-00,6.388,6.388,6.388,6.388
25-Apr-00,6.483,6.483,6.483,6.483
26-Apr-00,6.505,6.505,6.505,6.505
27-Apr-00,6.617,6.617,6.617,6.617
28-Apr-00,6.698,6.698,6.698,6.698
1-May-00,6.757,6.757,6.757,6.757
2-May-00,6.724,6.724,6.724,6.724
3-May-00,6.775,6.775,6.775,6.775
4-May-00,6.784,6.784,6.784,6.784
5-May-00,6.828,6.828,6.828,6.828
8-May-00,6.872,6.872,6.872,6.872
9-May-00,6.851,6.851,6.851,6.851
10-May-00,6.804,6.804,6.804,6.804
11-May-00,6.835,6.835,6.835,6.835
12-May-00,6.936,6.936,6.936,6.936
15-May-00,6.85,6.85,6.85,6.85
16-May-00,6.907,6.907,6.907,6.907
17-May-00,6.929,6.929,6.929,6.929
18-May-00,6.921,6.921,6.921,6.921
19-May-00,6.857,6.857,6.857,6.857
22-May-00,6.844,6.844,6.844,6.844
23-May-00,6.792,6.792,6.792,6.792
24-May-00,6.841,6.841,6.841,6.841
25-May-00,6.748,6.748,6.748,6.748
26-May-00,6.684,6.684,6.684,6.684
30-May-00,6.744,6.744,6.744,6.744
31-May-00,6.684,6.684,6.684,6.684
1-Jun-00,6.595,6.595,6.595,6.595
2-Jun-00,6.526,6.526,6.526,6.526
5-Jun-00,6.5,6.5,6.5,6.5
6-Jun-00,6.496,6.496,6.496,6.496
7-Jun-00,6.551,6.551,6.551,6.551
8-Jun-00,6.572,6.572,6.572,6.572
9-Jun-00,6.546,6.546,6.546,6.546
12-Jun-00,6.533,6.533,6.533,6.533
13-Jun-00,6.511,6.511,6.511,6.511
14-Jun-00,6.442,6.442,6.442,6.442
15-Jun-00,6.459,6.459,6.459,6.459
16-Jun-00,6.371,6.371,6.371,6.371
19-Jun-00,6.397,6.397,6.397,6.397
20-Jun-00,6.453,6.453,6.453,6.453
21-Jun-00,6.496,6.496,6.496,6.496
22-Jun-00,6.491,6.491,6.491,6.491
23-Jun-00,6.547,6.547,6.547,6.547
26-Jun-00,6.499,6.499,6.499,6.499
27-Jun-00,6.498,6.498,6.498,6.498
28-Jun-00,6.463,6.463,6.463,6.463
29-Jun-00,6.362,6.362,6.362,6.362
30-Jun-00,6.366,6.366,6.366,6.366
3-Jul-00,6.319,6.319,6.319,6.319
5-Jul-00,6.293,6.293,6.293,6.293
6-Jul-00,6.365,6.365,6.365,6.365
7-Jul-00,6.271,6.271,6.271,6.271
10-Jul-00,6.301,6.301,6.301,6.301
11-Jul-00,6.339,6.339,6.339,6.339
12-Jul-00,6.326,6.326,6.326,6.326
13-Jul-00,6.292,6.292,6.292,6.292
14-Jul-00,6.399,6.399,6.399,6.399
17-Jul-00,6.468,6.468,6.468,6.468
18-Jul-00,6.463,6.463,6.463,6.463
19-Jul-00,6.459,6.459,6.459,6.459
20-Jul-00,6.329,6.329,6.329,6.329
21-Jul-00,6.324,6.324,6.324,6.324
24-Jul-00,6.376,6.376,6.376,6.376
25-Jul-00,6.337,6.337,6.337,6.337
26-Jul-00,6.337,6.337,6.337,6.337
27-Jul-00,6.267,6.267,6.267,6.267
28-Jul-00,6.279,6.279,6.279,6.279
31-Jul-00,6.317,6.317,6.317,6.317
1-Aug-00,6.241,6.241,6.241,6.241
2-Aug-00,6.233,6.233,6.233,6.233
3-Aug-00,6.245,6.245,6.245,6.245
4-Aug-00,6.164,6.164,6.164,6.164
7-Aug-00,6.211,6.211,6.211,6.211
8-Aug-00,6.159,6.159,6.159,6.159
9-Aug-00,6.172,6.172,6.172,6.172
10-Aug-00,6.193,6.193,6.193,6.193
11-Aug-00,6.261,6.261,6.261,6.261
14-Aug-00,6.265,6.265,6.265,6.265
15-Aug-00,6.269,6.269,6.269,6.269
16-Aug-00,6.325,6.325,6.325,6.325
17-Aug-00,6.325,6.325,6.325,6.325
18-Aug-00,6.26,6.26,6.26,6.26
21-Aug-00,6.273,6.273,6.273,6.273
22-Aug-00,6.29,6.29,6.29,6.29
23-Aug-00,6.212,6.212,6.212,6.212
24-Aug-00,6.218,6.218,6.218,6.218
25-Aug-00,6.222,6.222,6.222,6.222
28-Aug-00,6.226,6.226,6.226,6.226
29-Aug-00,6.252,6.252,6.252,6.252
30-Aug-00,6.264,6.264,6.264,6.264
31-Aug-00,6.192,6.192,6.192,6.192
1-Sep-00,6.074,6.074,6.074,6.074
5-Sep-00,6.112,6.112,6.112,6.112
6-Sep-00,6.107,6.107,6.107,6.107
7-Sep-00,6.158,6.158,6.158,6.158
