TRADE DATE,NASDAQOMX/NQGR8000/INDEX VALUE,NASDAQOMX/NQGR8000/TOTAL MARKET VALUE,NASDAQOMX/NQZA8000/TOTAL MARKET VALUE,NASDAQOMX/NQZA8000/INDEX VALUE,NASDAQOMX/NQGB8000/TOTAL MARKET VALUE,NASDAQOMX/NQGB8000/INDEX VALUE,NASDAQOMX/NQCN8000/TOTAL MARKET VALUE,NASDAQOMX/NQCN8000/INDEX VALUE,NASDAQOMX/NQCH8000/TOTAL MARKET VALUE,NASDAQOMX/NQCH8000/INDEX VALUE,NASDAQOMX/NQBE8000/TOTAL MARKET VALUE,NASDAQOMX/NQBE8000/INDEX VALUE,NASDAQOMX/NQAU8000/TOTAL MARKET VALUE,NASDAQOMX/NQAU8000/INDEX VALUE,NASDAQOMX/NQJP8000/TOTAL MARKET VALUE,NASDAQOMX/NQJP8000/INDEX VALUE,NASDAQOMX/NQKR8000/TOTAL MARKET VALUE,NASDAQOMX/NQKR8000/INDEX VALUE,NASDAQOMX/NQIL8000/TOTAL MARKET VALUE,NASDAQOMX/NQIL8000/INDEX VALUE,NASDAQOMX/NQTW8000/TOTAL MARKET VALUE,NASDAQOMX/NQTW8000/INDEX VALUE,NASDAQOMX/NQIN8000/TOTAL MARKET VALUE,NASDAQOMX/NQIN8000/INDEX VALUE,NASDAQOMX/NQFR8000/TOTAL MARKET VALUE,NASDAQOMX/NQFR8000/INDEX VALUE,NASDAQOMX/NQIT8000/TOTAL MARKET VALUE,NASDAQOMX/NQIT8000/INDEX VALUE,NASDAQOMX/NQEG8000/TOTAL MARKET VALUE,NASDAQOMX/NQEG8000/INDEX VALUE,NASDAQOMX/NQDK8000/TOTAL MARKET VALUE,NASDAQOMX/NQDK8000/INDEX VALUE,NASDAQOMX/NQES8000/TOTAL MARKET VALUE,NASDAQOMX/NQES8000/INDEX VALUE,NASDAQOMX/NQTR8000/TOTAL MARKET VALUE,NASDAQOMX/NQTR8000/INDEX VALUE,NASDAQOMX/NQSE8000/TOTAL MARKET VALUE,NASDAQOMX/NQSE8000/INDEX VALUE,NASDAQOMX/NQTH8000/TOTAL MARKET VALUE,NASDAQOMX/NQTH8000/INDEX VALUE,NASDAQOMX/NQNL8000/TOTAL MARKET VALUE,NASDAQOMX/NQNL8000/INDEX VALUE,NASDAQOMX/NQCA8000/TOTAL MARKET VALUE,NASDAQOMX/NQCA8000/INDEX VALUE,NASDAQOMX/NQSG8000/TOTAL MARKET VALUE,NASDAQOMX/NQSG8000/INDEX VALUE,NASDAQOMX/NQPL8000/TOTAL MARKET VALUE,NASDAQOMX/NQPL8000/INDEX VALUE,NASDAQOMX/NQMY8000/TOTAL MARKET VALUE,NASDAQOMX/NQMY8000/INDEX VALUE,NASDAQOMX/NQPH8000/TOTAL MARKET VALUE,NASDAQOMX/NQPH8000/INDEX VALUE,NASDAQOMX/NQDE8000/TOTAL MARKET VALUE,NASDAQOMX/NQDE8000/INDEX VALUE,NASDAQOMX/NQFI8000/TOTAL MARKET VALUE,NASDAQOMX/NQFI8000/INDEX VALUE
3/30/2001,7895.85,17048685083,22282051595,305.67,3.08872E+11,1287.4,2632743378,325.62,2.00341E+11,1165.47,35477491612,2671.4,87301269499,393.47,1.7529E+11,1231.24,8697050355,277.06,6332268742,605.96,29748619913,890.2,4323479244,121.53,1.07336E+11,1045.94,78625588334,2592.73,,,10305050462,575.3,86965849495,1271.79,6205621218,137.81,41488069751,455.03,4136454713,179.69,1.33706E+11,1858.32,1.25625E+11,338.22,29641731397,441.89,1662464989,290.61,12334885808,271.74,3047507124,239.58,1.85332E+11,1779.37,,
4/2/2001,7823.51,16892483693,21412731628,293.74,3.08545E+11,1286.04,2666124224,329.75,1.97115E+11,1146.71,35749192192,2691.86,87583683647,394.74,1.73043E+11,1215.46,8544323198,272.2,6227778533,595.96,28715702422,859.29,4317711010,121.37,1.08093E+11,1053.32,77826263505,2566.37,,,10101689984,563.94,86612440877,1266.62,5669087078,125.9,40054515611,439.3,4174282413,181.34,1.34004E+11,1862.46,1.26831E+11,341.47,29096351132,433.76,1663391338,290.78,12307922213,271.14,2998861067,235.76,1.83232E+11,1759.2,,
4/3/2001,7802.99,16848183242,20836789786,285.84,3.02488E+11,1260.79,2603471102,322,1.91852E+11,1116.09,35311513966,2658.9,88680513581,399.69,1.81144E+11,1272.36,8680420772,276.54,6155784239,589.07,28158623262,842.62,4397082978,123.6,1.03675E+11,1010.26,76852242623,2534.25,,,10162012124,567.31,83314079696,1218.39,5244065613,116.46,39335469312,431.42,4064673084,176.58,1.30362E+11,1811.84,1.23796E+11,333.3,29193419023,435.21,1648249262,288.13,11926804750,262.75,3058705361,240.46,1.75154E+11,1681.65,,
4/4/2001,7985.74,17242779261,21272630967,291.82,3.08166E+11,1284.45,2470457900,305.55,1.92823E+11,1121.74,35750029164,2691.92,90620938541,408.43,1.85223E+11,1301.01,8190135818,260.92,6177540840,591.15,27820504357,832.5,4348833114,122.24,1.0577E+11,1030.67,78838235835,2599.74,,,10155599336,566.95,87008560692,1272.42,5369229236,119.24,40935168182,448.96,3916164095,170.13,1.33527E+11,1855.83,1.23089E+11,331.4,29007692094,432.44,1633903692,285.62,10909266371,240.33,3066429226,241.07,1.80203E+11,1730.12,,
4/5/2001,8068.8,17422115583,21622054712,296.61,3.10646E+11,1294.79,2482560914,307.05,1.96084E+11,1140.71,36043834685,2714.04,91326241254,411.61,1.86849E+11,1312.43,8190135818,260.92,6438223348,616.1,27908922049,835.15,4348833114,122.24,1.07025E+11,1042.91,79608867325,2625.15,,,10167417291,567.61,87548352878,1280.31,5859343854,130.12,42319574267,464.14,3986989195,173.2,1.36478E+11,1896.85,1.23964E+11,333.75,30020618322,447.54,1674090091,292.65,10715511219,236.06,3075834122,241.81,1.84655E+11,1772.87,,
4/6/2001,8176.5,17654661330,21268962780,291.77,3.1027E+11,1293.22,2544933329,314.76,1.96105E+11,1140.83,35967862487,2708.32,91711515053,413.35,1.86482E+11,1309.86,8442388966,268.95,6429303043,615.25,28009379052,838.15,4348915322,122.25,1.06953E+11,1042.21,80190892846,2644.35,,,10172905463,567.92,87771836670,1283.58,5712040325,126.85,41107240133,450.85,3970338094,172.48,1.39001E+11,1931.9,1.23853E+11,333.45,30018457937,447.51,1693883993,296.11,10414852103,229.44,3069234670,241.29,1.83184E+11,1758.74,,
4/9/2001,8150.07,17597581233,21359663778,293.01,3.1437E+11,1310.31,2503718884,309.66,2.00075E+11,1163.92,36676766384,2761.7,90311044550,407.04,1.80373E+11,1266.95,8339421823,265.67,6350700847,607.72,27361728133,818.77,4308885052,121.12,1.07696E+11,1049.44,80890788841,2667.43,,,10194395951,569.12,89058325285,1302.39,5412749257,120.21,42586532756,467.07,3859293145,167.65,1.42624E+11,1982.26,1.24838E+11,336.11,27994515328,417.34,1731121616,302.61,10016431302,220.66,3073827108,241.65,1.83372E+11,1760.55,,
4/10/2001,8174.92,17651253384,21627677960,296.69,3.15513E+11,1315.08,2569262710,317.77,2.02395E+11,1177.42,36253834272,2729.86,90813298225,409.3,1.78096E+11,1250.95,8044151499,256.27,6525142793,624.42,27124208651,811.67,4283487231,120.41,1.08073E+11,1053.12,80039106083,2639.34,,,10097971814,563.74,88867541352,1299.6,5302712836,117.76,42579873467,467,3850986557,167.29,1.41815E+11,1971.02,1.266E+11,340.85,27816919397,414.69,1756412567,307.04,10136032561,223.3,3093736142,243.22,1.80123E+11,1729.36,,
4/11/2001,8145.32,17587329852,22736720722,311.9,3.15673E+11,1315.74,2616601313,323.62,2.05192E+11,1193.69,35358375738,2662.43,91709196321,413.34,1.80675E+11,1269.07,8606751811,274.19,6578876752,629.56,27515846547,823.39,4334181803,121.83,1.07844E+11,1050.89,79401656573,2618.32,,,10151309720,566.71,88786090523,1298.41,5565749040,123.6,41473304927,454.86,3908030551,169.77,1.40174E+11,1948.21,1.24655E+11,335.61,28103234762,418.96,1766966268,308.88,10276988219,226.4,3059548556,240.53,1.78757E+11,1716.24,,
4/12/2001,8511.73,18378479112,23048954900,316.19,3.16621E+11,1319.7,2655680130,328.46,2.07199E+11,1205.36,35251027096,2654.35,92442952406,416.64,1.83096E+11,1286.07,8858067305,282.19,6545882128,626.4,27208909012,814.2,4301254287,120.91,1.09256E+11,1064.65,80795041865,2664.27,,,10184270052,568.55,90836648941,1328.4,5904120639,131.12,40867151744,448.22,4136538951,179.7,1.41992E+11,1973.48,1.23536E+11,332.6,26831912767,400.01,1753228365,306.48,10086993227,222.22,3061083198,240.65,1.81777E+11,1745.23,,
