TRADE DATE,NASDAQOMX/NQFI/INDEX VALUE,NASDAQOMX/NQFI/TOTAL MARKET VALUE,NASDAQOMX/NQES/INDEX VALUE,NASDAQOMX/NQES/TOTAL MARKET VALUE,NASDAQOMX/NQFR/INDEX VALUE,NASDAQOMX/NQFR/TOTAL MARKET VALUE,NASDAQOMX/NQRU/INDEX VALUE,NASDAQOMX/NQRU/TOTAL MARKET VALUE,NASDAQOMX/NQTR/INDEX VALUE,NASDAQOMX/NQTR/TOTAL MARKET VALUE,NASDAQOMX/NQKR/INDEX VALUE,NASDAQOMX/NQKR/TOTAL MARKET VALUE,NASDAQOMX/NQMA/INDEX VALUE,NASDAQOMX/NQMA/TOTAL MARKET VALUE,NASDAQOMX/NQPL/INDEX VALUE,NASDAQOMX/NQPL/TOTAL MARKET VALUE,NASDAQOMX/NQIT/INDEX VALUE,NASDAQOMX/NQIT/TOTAL MARKET VALUE,NASDAQOMX/NQCL/INDEX VALUE,NASDAQOMX/NQCL/TOTAL MARKET VALUE,NASDAQOMX/NQTH/INDEX VALUE,NASDAQOMX/NQTH/TOTAL MARKET VALUE,NASDAQOMX/NQGR/INDEX VALUE,NASDAQOMX/NQGR/TOTAL MARKET VALUE,NASDAQOMX/NQID/INDEX VALUE,NASDAQOMX/NQID/TOTAL MARKET VALUE,NASDAQOMX/NQCN/INDEX VALUE,NASDAQOMX/NQCN/TOTAL MARKET VALUE,NASDAQOMX/NQSE/INDEX VALUE,NASDAQOMX/NQSE/TOTAL MARKET VALUE,NASDAQOMX/NQMX/INDEX VALUE,NASDAQOMX/NQMX/TOTAL MARKET VALUE,NASDAQOMX/NQPH/INDEX VALUE,NASDAQOMX/NQPH/TOTAL MARKET VALUE,NASDAQOMX/NQPE/INDEX VALUE,NASDAQOMX/NQPE/TOTAL MARKET VALUE,NASDAQOMX/NQJP/INDEX VALUE,NASDAQOMX/NQJP/TOTAL MARKET VALUE,NASDAQOMX/NQCH/INDEX VALUE,NASDAQOMX/NQCH/TOTAL MARKET VALUE,NASDAQOMX/NQCA/INDEX VALUE,NASDAQOMX/NQCA/TOTAL MARKET VALUE,NASDAQOMX/NQNO/INDEX VALUE,NASDAQOMX/NQNO/TOTAL MARKET VALUE,NASDAQOMX/NQAU/INDEX VALUE,NASDAQOMX/NQAU/TOTAL MARKET VALUE,NASDAQOMX/NQIN/INDEX VALUE,NASDAQOMX/NQIN/TOTAL MARKET VALUE,NASDAQOMX/NQDK/INDEX VALUE,NASDAQOMX/NQDK/TOTAL MARKET VALUE,NASDAQOMX/NQBR/INDEX VALUE,NASDAQOMX/NQBR/TOTAL MARKET VALUE,NASDAQOMX/NQEG/INDEX VALUE,NASDAQOMX/NQEG/TOTAL MARKET VALUE,NASDAQOMX/NQDE/INDEX VALUE,NASDAQOMX/NQDE/TOTAL MARKET VALUE,NASDAQOMX/NQIE/INDEX VALUE,NASDAQOMX/NQIE/TOTAL MARKET VALUE,NASDAQOMX/NQPT/INDEX VALUE,NASDAQOMX/NQPT/TOTAL MARKET VALUE,NASDAQOMX/NQGB/INDEX VALUE,NASDAQOMX/NQGB/TOTAL MARKET VALUE,NASDAQOMX/NQHU/INDEX VALUE,NASDAQOMX/NQHU/TOTAL MARKET VALUE,NASDAQOMX/NQIL/INDEX VALUE,NASDAQOMX/NQIL/TOTAL MARKET VALUE,NASDAQOMX/NQNL/INDEX VALUE,NASDAQOMX/NQNL/TOTAL MARKET VALUE,NASDAQOMX/NQSG/INDEX VALUE,NASDAQOMX/NQSG/TOTAL MARKET VALUE,NASDAQOMX/NQMY/INDEX VALUE,NASDAQOMX/NQMY/TOTAL MARKET VALUE,NASDAQOMX/NQTW/INDEX VALUE,NASDAQOMX/NQTW/TOTAL MARKET VALUE,NASDAQOMX/NQAT/INDEX VALUE,NASDAQOMX/NQAT/TOTAL MARKET VALUE,NASDAQOMX/NQCO/INDEX VALUE,NASDAQOMX/NQCO/TOTAL MARKET VALUE,NASDAQOMX/NQBE/INDEX VALUE,NASDAQOMX/NQBE/TOTAL MARKET VALUE,NASDAQOMX/NQUSB/TOTAL MARKET VALUE,NASDAQOMX/NQUSB/INDEX VALUE
3/30/2001,1387.36,1.45777E+11,908.06,1.88043E+11,914.43,6.57819E+11,,,187.23,10646497776,219.77,80100870925,,,448.55,8628601010,1585.92,2.1248E+11,240.6,8828748186,140.7,9992266928,2823.37,29121913040,82.42,3308242750,305.72,51276319556,452.29,1.55056E+11,218.37,34057284061,199.2,5299592692,,,987.29,1.59332E+12,562.33,5.30218E+11,358.82,3.10623E+11,384.44,26863498953,345.77,2.10313E+11,195.26,38310448594,365.15,45749135454,224.9,5303078240,,,751.19,6.13508E+11,1293.59,49239161847,1674.05,21082776097,795.56,1.58955E+12,341.21,3554508034,612.86,27858929100,1034.31,3.06593E+11,413.41,74305324986,351.63,47793245084,812.47,2.04272E+11,446.28,7917833647,,,816.6,59436146996,,
4/2/2001,1387.4,1.45782E+11,905.33,1.87478E+11,917.87,6.60294E+11,,,170.64,9702851830,213.82,77932170244,,,444.08,8542685111,1580.89,2.11805E+11,241.08,8846435915,140.27,9961618761,2803.09,28912736327,79.89,3206820465,307.21,51526322151,440.3,1.50947E+11,219.05,34163389553,196.29,5222357664,,,970.08,1.56555E+12,550.68,5.19238E+11,361.2,3.12682E+11,383.32,26785022957,347.58,2.11413E+11,192.66,37799955806,356.12,44617842201,220.65,5202845868,,,749.92,6.12465E+11,1291.37,49154981371,1657.37,20872762134,793.16,1.58477E+12,336.29,3503260824,597.9,27178634597,1030.9,3.05581E+11,402.2,72290502083,353.58,48058769074,782.63,1.9677E+11,440.12,7808568749,,,824.35,60000676937,,
4/3/2001,1313.03,1.37968E+11,877.6,1.81736E+11,885.43,6.36956E+11,,,157.43,8951816124,208.71,76072025713,,,431.21,8295040505,1545.91,2.07119E+11,237.13,8701480592,137.61,9772714143,2774.08,28613454107,78.96,3169311327,298.52,50068680822,430.46,1.47575E+11,214.53,33459325288,198.38,5277940445,,,992.27,1.60136E+12,540.75,5.09869E+11,351.98,3.04704E+11,378.84,26471963031,349.09,2.12329E+11,195.16,38289211400,348.84,43705530550,215.54,5082531215,,,716.55,5.85211E+11,1266.28,48199814032,1638.71,20637692145,777.3,1.55307E+12,330.47,3442646494,565.24,25694172995,1005.56,2.9807E+11,404.47,72699314284,340.74,46313305082,761.15,1.91368E+11,437.47,7761499193,,,818.93,59606076882,,
4/4/2001,1322.51,1.38963E+11,910.95,1.88641E+11,913.21,6.56941E+11,,,160.05,9100668912,201.01,73263105501,,,425.12,8177964619,1591.63,2.13244E+11,236.98,8695754411,133.76,9499614399,2830.82,29198699956,76.55,3072531014,280.69,47078234818,441.51,1.51363E+11,213.24,33257138844,197.21,5246583970,,,1000.75,1.61505E+12,545.82,5.14657E+11,352.99,3.05576E+11,381.63,26667253371,353.47,2.14997E+11,193.08,37881988053,347.36,43520099574,215.92,5091407024,,,740.88,6.05085E+11,1276.77,48598922440,1699.93,21408753731,789.98,1.57842E+12,337.28,3513593896,571.65,25985495383,1022.01,3.02947E+11,400.31,71951195517,314.2,42705922337,753.22,1.89375E+11,448.3,7953701808,,,827.95,60262811718,,
4/5/2001,1394.63,1.46541E+11,921.5,1.90827E+11,919.67,6.61592E+11,,,173.61,9871672294,201.01,73263105501,,,438.37,8432786438,1599.97,2.14361E+11,237.83,8727054185,135.61,9630406503,2876.97,29674692563,74.99,3009871267,281.76,47258034755,467.73,1.60352E+11,219.28,34200514902,198.36,5277386562,,,1017.07,1.64138E+12,554.73,5.23051E+11,356.67,3.08762E+11,386.97,27040202507,357.01,2.17147E+11,193.08,37881988053,352.17,44123305161,219.01,5164236110,,,753.09,6.15059E+11,1299.64,49469680995,1717.56,21630705563,799.47,1.59738E+12,355.21,3700389782,607.99,27637606842,1044.51,3.09615E+11,412.1,74071618527,311.9,42392575107,755.61,1.89977E+11,448.26,7953020996,,,834.32,60726386099,,
4/6/2001,1382.32,1.45248E+11,926.36,1.91834E+11,923.3,6.64198E+11,,,170.36,9687175195,210.8,76834861910,,,443.58,8532984910,1613.6,2.16188E+11,231.73,8503067804,135.04,9590187177,2898.78,29899678268,74.36,2984616280,294.01,49311177455,458.83,1.57299E+11,217.85,33977136721,198.9,5291751348,,,1023.89,1.65239E+12,554.33,5.22672E+11,355.34,3.07608E+11,389.24,27198807760,362.31,2.20371E+11,193.48,37961143131,355.62,44554613930,224.71,5298628811,,,748.33,6.11172E+11,1317.28,50141146112,1715.77,21608193159,804.35,1.60712E+12,355.49,3703334415,599.58,27255134099,1050.07,3.11265E+11,410.06,73703395554,301.58,40990912721,769.97,1.93587E+11,445.49,7903783303,,,835.36,60801964454,,
4/9/2001,1389.01,1.45951E+11,938.35,1.94316E+11,929.28,6.68501E+11,,,163.88,9318412462,207.18,75512771358,,,452.96,8713410885,1626.79,2.17955E+11,230.29,8450534085,132.03,9376695946,2879.93,29705271354,74,2970148937,291.59,48906848870,475.22,1.6292E+11,219.31,34204393301,199.2,5299669175,,,990.44,1.59841E+12,564.04,5.31832E+11,360.07,3.117E+11,389.95,27248650459,359.84,2.18871E+11,191.38,37547794150,357.7,44815257393,227.33,5360385969,,,755.75,6.17233E+11,1338.61,50952768741,1738.13,21889789302,819.57,1.63753E+12,352,3666934409,615.33,27970926956,1060.44,3.14338E+11,390.65,70215037772,286.71,38969637422,752.83,1.89277E+11,449.88,7981633842,,,847.89,61713794655,,
4/10/2001,1447.59,1.52106E+11,944.39,1.95566E+11,943.65,6.78843E+11,,,158.83,9031761917,204.88,74674360972,,,459.26,8834742848,1623.42,2.17504E+11,229.78,8431680562,132.66,9420870377,2885.66,29764409543,76.94,3088071207,297.45,49888361716,489.61,1.67854E+11,228.02,35563228462,199.3,5302180401,,,980.31,1.58205E+12,566.32,5.33985E+11,367.15,3.17829E+11,396.47,27703911581,363.73,2.21233E+11,186.99,36686141746,357.29,44764020497,237.65,5603894342,,,765.97,6.25577E+11,1345.79,51226193262,1731.41,21805213498,832.27,1.66291E+12,356.15,3710107484,653.12,29688829788,1067.22,3.16347E+11,395.2,71032346479,288.49,39211963952,746.93,1.87793E+11,446.52,7922127962,,,840.85,61201725736,,
4/11/2001,1506.08,1.58252E+11,941.48,1.94963E+11,944.65,6.79563E+11,,,165.83,9429641913,213.72,77898735656,,,464.21,8929925632,1620.07,2.17054E+11,231.01,8476661560,134.76,9570199600,2878.5,29690470026,77.1,3094521343,310.24,52033339093,482.62,1.65456E+11,228.76,35678221479,197.73,5260581829,,,999.78,1.61348E+12,569.71,5.37182E+11,363.12,3.14343E+11,399.02,27881884933,371.02,2.2567E+11,177.48,34821967857,359.6,45053460215,239.08,5637562628,,,765,6.24783E+11,1337.26,50901469931,1722.86,21697431582,826.69,1.65176E+12,357.68,3726087774,675.6,30710878453,1072.89,3.18029E+11,396.41,71249724330,296.34,40277666601,764.27,1.92154E+11,441.55,7833912060,,,826.1,60127621025,,
4/12/2001,1521.07,1.59826E+11,956.9,1.98157E+11,957.13,6.88534E+11,,,176.22,10020596589,218.19,79525458215,,,465.61,8956841484,1645.07,2.20404E+11,229.71,8429271721,139.74,9923662443,2989.14,30831738290,76.64,3076202847,314.79,52797531356,478.01,1.63877E+11,228.02,35563435924,197.83,5263220404,,,1018.22,1.64324E+12,575.79,5.42908E+11,364.62,3.15644E+11,402.8,28146584887,376.08,2.28746E+11,169.5,33254586131,360.76,45199743880,241.34,5690698798,,,777.25,6.34789E+11,1339.37,50981855705,1735.08,21851434475,828.02,1.65441E+12,361.11,3761862128,682.01,31002201949,1083.33,3.21122E+11,390.47,70183053881,294.12,39976504979,775.14,1.94886E+11,446.26,7917446411,,,823.26,59921256950,,
