Account,Followers,Tweets,Description
CNNBusiness,1730000,146000,News Outlet
LizAnnSonders,60300,6738,"Chief Investment Strategist, Charles Schwab & Co., Inc."
MarketWatch,3600000,247000,News Outlet
AswathDamodaran,90700,1200,Professor of Finance at the Stern School of Business at New York University
ukarlewitz,513000,34600,Blogger
zerohedge,529000,345000,Blogger
TheStalwart,158000,309000,Blogger
Scobleizer,415000,71700,Tech Blogger
WSJTech,313000,50900,News Outlet
dealbook,113000,55900,News Outlet (NYT spin-off blog)
ReformedBroker,1070000,83500,Blogger
ianbremmer,394000,34100,NYU Political Science Professor
TheJusticeDept,1550000,8468,Government Office
alphatrends,89100,24100,Blogger
Investor666,55800,8144,Blogger
ZorTrades,26500,53600,Blogger
markminervini,88800,11600,Author (Glorified Blogger)
option_snipper,25000,20100,Blogger
OptionsHawk,56900,101000,Blogger
SunriseTrader,27300,15200,Blogger
traderstewie,89400,108000,Blogger
johnscharts,30300,22800,Blogger
IncredibleTrade,25900,50600,Blogger
Burns277,83300,14700,Blogger
szaman,52400,55900,Blogger
super_trades,76100,43600,Blogger
markflowchatter,36600,7604,Blogger
FT,3350000,221000,News Outlet
CNBC,3000000,242000,News Outlet
bespokeinvest,70600,29300,Investment and Market Research Firm
WSJmarkets,491000,58800,News Outlet
nytimesbusiness,779000,189000,News Outlet
realDonaldTrump,55600000,39700,President of United States
jimcramer,1090000,90700,Blogger/Market Commentator/TV Personality
PeterLBrandt,227000,15000,Author
USTreasury,791000,5839,Government Office
ACInvestorBlog,31200,98300,Blogger
businessinsider,2490000,533000,News Outlet
FortuneMagazine,2250000,182000,News Outlet
guardian,7390000,483000,News Outlet
StockTwits,602000,61900,News Outlet
awealthofcs,59000,20200,Blogger
CNBCFastMoney,273000,44800,News Outlet
patrick_oshag,56600,9484,Blogger
KimbleCharting,27500,10200,Blogger
izakaminska,45700,35000,Blogger
MebFaber,51600,10200,Blogger
HayekAndKeynes,35800,10400,Former Analist
StockCats,78100,76300,Blogger
EpsilonTheory,28000,5467,Author/PhD
CliffordAsness,39700,7351,Fund Manager
SoberLook,37600,21200,News Outlet(Blog)
jessefelder,67400,51400,Blogger/Former Fund Manager
sentimentrader,51500,2207,News Outlet(Blog)
michaelbatnick,60400,32200,Blogger
fundstrat,60200,3847,Blogger
lisaabramowicz1,42300,15000,Journalist
charliebilello,79400,18100,Analysist
Techmeme,375000,124000,News Outlet
TheStreet,661000,154000,News Outlet
